NOM	CARRER	NÚM.	DISTRICTE	BARRI	CODI POSTAL	LOCALITAT	REGIÓ	PAÍS	LATITUD	LONGITUD	TELÈFON 1	TELÈFON 2	EMAIL
Bar Restaurant Dialo	Loreto	52	Les Corts	les Corts	08029	BARCELONA	BARCELONA	ESPANYA	41.39174865555555	2.142772861111111	+34 934103079	SILVA MARIN ANTONIO	---
Restaurant Ca La Teresa	C Roc Boronat	70	Sant Martí	el Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.400337844444444	2.197898083333333	+34 933091484	CANALS CASTELLO TERESA	---
Restaurant Japonès Bun Sishi	Ptge Lluís Pellicer	20	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.393258116666665	2.149771	+34 934305122	+34 934193115	---
Restaurant Cafè de l'Acadèmia	C Lledó	1	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.382908191666665	2.1785656388888888	+34 933198253	+34 933150026	---
Restaurant Ariadna	C Laforja	83	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.396056180555554	2.144791027777778	+34 932099952	LA SANDWICHERIA, SL	---
Restaurant Da Paolo	Av Madrid	63*73	Les Corts	la Maternitat i Sant Ramon	08028	BARCELONA	BARCELONA	ESPANYA	41.37809453333333	2.12645825	+34 934904891	---	dapaolo@dapaolo.es
Restaurant Juan	C Madriguera	47	Sant Andreu	la Trinitat Vella	08033	BARCELONA	BARCELONA	ESPANYA	41.44962256944444	2.191024944444444	+34 933453013	FERRER JAVIERRE PEDRO	---
Dole Café	C Manuel de Falla	16-18	Sarrià-Sant Gervasi	Sarrià	08034	BARCELONA	BARCELONA	ESPANYA	41.393468383333335	2.1254036666666667	+34 932041120	MATEU ROCHER LEANDRO	---
Restaurant Gota d'Or	C Manuel de Falla	17	Sarrià-Sant Gervasi	Sarrià	08034	BARCELONA	BARCELONA	ESPANYA	41.39391675	2.125527027777778	+34 932031001	+34 932032237	---
Restaurant El Loro Blanco	C Manuel de Falla	24	Sarrià-Sant Gervasi	Sarrià	08034	BARCELONA	BARCELONA	ESPANYA	41.393468383333335	2.1254036666666667	+34 932046323	PEREZ LOPEZ CANDIDO	---
Restaurant Taita	C Mestre Nicolau	9	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.393092841666665	2.1419751944444445	+34 934140352	SANTOLL MAJOS JOSE	---
Restaurant Cafè de Paris	C Mestre Nicolau	16	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39426517222222	2.143331972222222	+34 932001914	SANDOVAL GUTIERREZ JESUS	---
Restaurant La Tomaquera	C Margarit	58	Sants-Montjuïc	el Poble Sec	08004	BARCELONA	BARCELONA	ESPANYA	41.37231015555555	2.1630167777777776	VIRGO SORRIBAS M CARMEN	---	---
Restaurant Can Pescallunes	C Magdalenes	23	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.386443030555554	2.1745028888888887	+34 933185483	TERRICABRAS COLA RAMON	---
Restaurant JJ	C Mallorca	18*20	Sants-Montjuïc	Hostafrancs	08014	BARCELONA	BARCELONA	ESPANYA	41.37895758611111	2.14309225	+34 934261684	+34 934268933	---
Restaurant El Caballito Blanco	C Mallorca	196	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.39009182777778	2.1577771666666665	+34 934531033	+34 934539616	---
Restaurant Lizarrán *Mallorca	C Mallorca	257	Eixample	la Dreta de l'Eixample	08008	BARCELONA	BARCELONA	ESPANYA	41.393437041666665	2.16184675	+34 934872602	+34 902400046	---
Cerveseria Restaurant Nuremberg	C Mallorca	645	Sant Andreu	Navas	08027	BARCELONA	BARCELONA	ESPANYA	41.414036369444446	2.1890890555555553	+34 933511655	SANTOS ASENJO MARTIN	---
Bar Restaurant Montesquiu	C Mandri	56	Sarrià-Sant Gervasi	Sant Gervasi - la Bonanova	08022	BARCELONA	BARCELONA	ESPANYA	41.40461825277777	2.1325325833333335	+34 934173061	VERTICE DE HOSTELERAS SA	---
Restaurant Can Ventura	C Manuel Angelon	24	Sarrià-Sant Gervasi	el Putxet i el Farró	08006	BARCELONA	BARCELONA	ESPANYA	41.40359345277778	2.1437256666666666	+34 932111794	VENTURA IGLESIAS JOSE MARIA	---
Restaurant Can Ramonet	C Maquinista	17	Ciutat Vella	la Barceloneta	08003	BARCELONA	BARCELONA	ESPANYA	41.38083230555556	2.188923055555555	+34 933193064	+34 933197014	---
Restaurant Cantina Mexicana Chihuahua	Pg Maragall	107	Horta-Guinardó	el Guinardó	08041	BARCELONA	BARCELONA	ESPANYA	41.418847138888886	2.1803885555555556	+34 934 460 391	L ONADA SCCL	---
Bar Restaurant Sidney	Pg Maragall	176	Sant Andreu	el Congrés i els Indians	08027	BARCELONA	BARCELONA	ESPANYA	41.42515431111111	2.1765916111111108	+34 933519309	SIDNEY SA	---
Restaurant Celpe	Pg Maragall	203	Horta-Guinardó	el Guinardó	08041	BARCELONA	BARCELONA	ESPANYA	41.424180255555555	2.1770771666666664	+34 933492979	CELMA CUBELES JOSE	---
Restaurant Maruzella	Pg Maragall	304	Nou Barris	Vilapicina i la Torre Llobeta	08031	BARCELONA	BARCELONA	ESPANYA	41.42738096944444	2.169480138888889	+34 933571282	HADIDIAN SEMERDJIAN ALBERTO	---
Restaurant Telepizza *Pg Maragall	Pg Maragall	368	Nou Barris	Vilapicina i la Torre Llobeta	08031	BARCELONA	BARCELONA	ESPANYA	41.42800259722222	2.1643519444444443	+34 934295536	MIXOR SA	---
Restaurant Ongui Etorri	C Maresme	106	Sant Martí	el Besòs i el Maresme	08019	BARCELONA	BARCELONA	ESPANYA	41.415029624999995	2.2124656666666667	+34 932661042	RUBIO RINCON ROSARIO	---
Restaurant Xinès La Gran Muralla 3	C Marià Cubí	92	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39697828333333	2.1473756388888887	+34 932099379	CHUANG RAFI JOSE	---
Bar Restaurant La Teya	C Marià Cubí	203	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39481238055556	2.14394275	+34 932003254	PRADO FERNANDEZ M CARMEN	---
Restaurant Casa Jordi	Ptge Marimon	18	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39451113055556	2.1477334722222223	+34 932001118	+34 932098710	casajordi@casajordi.es
Bar Restaurant Baviera	C Marina	241	Eixample	la Sagrada Família	08013	BARCELONA	BARCELONA	ESPANYA	41.40303226388889	2.176163	+34 932324302	RODRIGUEZ FERREIRO CLAUDIO	---
Restaurant El Felino	C Marina	269	Eixample	la Sagrada Família	08025	BARCELONA	BARCELONA	ESPANYA	41.40500064166667	2.1735880555555553	+34 934367713	SORRIBAS CORTES FERMIN	---
Bar Argentina	Marina	0325	Eixample	la Sagrada Família	08025	BARCELONA	BARCELONA	ESPANYA	41.407686041666665	2.1700392777777777	+34 934553115	DONISA TAHULL RAMIRO	---
Bar Restaurant Pizzeria El Paralelo	Av Paral.lel	167	Sants-Montjuïc	el Poble Sec	08004	BARCELONA	BARCELONA	ESPANYA	41.37481429166667	2.156354583333333	+34 934245341	GONZALEZ GONZALEZ RICARDO	---
Bar Montseny	Av Paral.lel	206	Eixample	Sant Antoni	08015	BARCELONA	BARCELONA	ESPANYA	41.37524922222222	2.150613722222222	+34 934237427	GIRBAU VERGES TERESA	---
Restaurant Con Gracia	C Martínez de la Rosa	8	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.39902903055555	2.160035972222222	+34 932380201	+34 932380201	---
Pizzeria Cuatro	C Dolors Masferrer i Bosch	4	Les Corts	les Corts	08028	BARCELONA	BARCELONA	ESPANYA	41.38555936666667	2.1295700277777776	+34 933306860	SUAREZ QUIROS CARLOS ALBERTO	---
Restaurant La Maduixa	C Dolors Masferrer i Bosch	18	Les Corts	les Corts	08028	BARCELONA	BARCELONA	ESPANYA	41.38534961388889	2.1288977222222223	+34 933395886	SERRANO PELEGRI CARMEN	---
Bar Teteria Jazmín	C Maspons	11	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.401210263888885	2.156374861111111	+34 932187184	TORRES MELGOSA JOSE	---
Restaurant Sporting	C Maspons	16	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.40120241666666	2.1565035277777778	+34 932188578	+34 932370328	---
Restaurant Can Xurrades	C Gran de Gràcia	57	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.399495538888885	2.155728972222222	+34 932173097	+34 932173097	rafa@canxurrades.com
Restaurant Botafumeiro	C Gran de Gràcia	81	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.400430944444444	2.1546171944444446	+34 932184230	+34 932179642	info@botafumeiro.es
Bar Restaurant La Victoria	C Gran de Gràcia	160	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.402223355555556	2.1529711666666667	+34 932370757	TEGNO BAR SA	---
Restaurant Sant Yago	C Gran de Gràcia	256	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.40539896666667	2.1508250277777776	+34 932371648	+34 932378639	---
Bar Can Tomás	C Major de Sarrià	49	Sarrià-Sant Gervasi	Sarrià	08017	BARCELONA	BARCELONA	ESPANYA	41.39757398611111	2.1230531944444446	+34 932031077	BETORZ BETORZ ANTONIO	---
Restaurant Casa Joana	C Major de Sarrià	59	Sarrià-Sant Gervasi	Sarrià	08017	BARCELONA	BARCELONA	ESPANYA	41.398053491666666	2.1224883055555557	+34 932031036	+34 932032306	---
Restaurant Tram Tram	C Major de Sarrià	121	Sarrià-Sant Gervasi	Sarrià	08017	BARCELONA	BARCELONA	ESPANYA	41.40074349722222	2.1205225	+34 932048518	+34 932056352	---
Restaurant Ca La Tresa	C Major de Sarrià	128	Sarrià-Sant Gervasi	Sarrià	08017	BARCELONA	BARCELONA	ESPANYA	41.40033591388889	2.121157833333333	+34 932030429	+34 932030429	calatresa@mailpersonal.com
Restaurant Mejico	C Mèxic	26	Sants-Montjuïc	la Font de la Guatlla	08004	BARCELONA	BARCELONA	ESPANYA	41.37241568611111	2.148787583333333	+34 933256443	VALLVERDU OLIVAN CARMEN	---
Restaurant Pizza Ràpid *Torrent de l'Olla	C Torrent de l'Olla	157	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.40436613888889	2.15462725	+34 932376448	PIZZA RAPID SA	---
Bar Restaurant L'Olla	C Torrent de l'Olla	203	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.406693675	2.151752777777778	+34 932186056	FERNANDEZ SEIJAS MERCEDES	---
Bar Restaurant Rabasseda	Pl Mercadal	1	Sant Andreu	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	41.434666674999995	2.1887514444444442	+34 933451017	BURGUES ARIET MARIA	---
Bar Restaurant Alastruey	C Mercaders	24	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38531476944444	2.1779345833333332	+34 933191132	GIL JIMENEZ JOSEFA	---
Bar Celta	C Mercè	16	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.379907875	2.18018775	+34 933150006	BUJAN BUJAN OSCAR	---
Restaurant Cantonata *Av Meridiana	Av Meridiana	11	Sant Martí	el Parc i la Llacuna del Poblenou	08018	BARCELONA	BARCELONA	ESPANYA	41.39255196111111	2.1865499444444443	+34 934852702	+34 933209727	---
Restaurant Gamo	Av Meridiana	111	Sant Martí	el Clot	08026	BARCELONA	BARCELONA	ESPANYA	41.40790422222222	2.1865641111111107	+34 932452002	GAMO SOMOLINOS ANGELES	---
Restaurant Xarcuteria Pizza Ràpid *Av Mistral	Av Mistral	10	Eixample	Sant Antoni	08015	BARCELONA	BARCELONA	ESPANYA	41.37749871111111	2.158763638888889	+34 934239680	PIZZA RAPID SA	---
Restaurant Pizzeria El Atico	Av Mistral	44	Eixample	Sant Antoni	08015	BARCELONA	BARCELONA	ESPANYA	41.376561063888886	2.1553179166666667	+34 933250054	---	---
Ristorante Roberta	C Moliné	1	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08006	BARCELONA	BARCELONA	ESPANYA	41.39819939722222	2.148025722222222	+34 932008729	PIROVANO FERRUCCIO	---
Bar Restaurant Els Quatre Gats	C Montsió	3	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38600915833333	2.173499777777778	+34 933024140	+34 933174033	4gats@4gats.es
Restaurant Els Actuals	C Montsió	5	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.385790505555555	2.173837888888889	+34 933015308	VERDAGUER ROSAS ANNA M	---
Bar Cherpi	C Moragas	21	Sarrià-Sant Gervasi	Sant Gervasi - la Bonanova	08022	BARCELONA	BARCELONA	ESPANYA	41.408432258333335	2.1374589444444445	+34 934173077	ESPERT ESTANY JOSE	---
Bar Restaurant La Fuente	Pl Mossèn Clapés	14	Sant Andreu	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	41.44221684722222	2.1871709999999998	+34 933119705	RODRIGUEZ QUIÑONES RAMON	---
Bar L'Anxoveta	Sant Domènec	0014*0016	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.39984006388889	2.156595388888889	+34 934159223	BALCELLS GASULLA LUIS	---
Bar Restaurant Cosmopolita	C Muntaner	6	Eixample	Sant Antoni	08011	BARCELONA	BARCELONA	ESPANYA	41.38418958611111	2.1628081666666668	+34 934530075	+34 934536483	info@cosmopolitaclub.com
Bar Restaurant Can Pagès	C Muntaner	28	Eixample	l'Antiga Esquerra de l'Eixample	08011	BARCELONA	BARCELONA	ESPANYA	41.385409333333335	2.161196861111111	+34 934536578	+34 934511237	---
Bar Restaurant Río Grande	C Muntaner	103	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.38878565277778	2.1563624722222223	+34 934531700	+34 934531000	---
Restaurant L'Olivé	C Balmes	47	Eixample	l'Antiga Esquerra de l'Eixample	08007	BARCELONA	BARCELONA	ESPANYA	41.38916575277778	2.1626395555555553	+34 934521990	+34 934512418	---
Restaurant Casa Julio	C Muntaner	439	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.40104975277777	2.1400979444444443	+34 932016007	MARTINEZ PEREZ RUFINO	---
Restaurant Port Vell	Pg J Borbó Comte Barcelona	20	Ciutat Vella	la Barceloneta	08003	BARCELONA	BARCELONA	ESPANYA	41.37980243888889	2.187712722222222	+34 932217140	+34 932215060	---
Bar Meson Jesus	C Nàpols	182*184	Eixample	el Fort Pienc	08013	BARCELONA	BARCELONA	ESPANYA	41.398693147222225	2.175392138888889	+34 932452089	ABELLO FERNANDEZ JESUS	---
Cafeteria Restaurant Tossa	C Nàpols	291	Gràcia	el Camp d'en Grassot i Gràcia Nova	08025	BARCELONA	BARCELONA	ESPANYA	41.40330325	2.1686674444444445	+34 934576510	GARCIA JARQUE ROBERTO	---
Bar Restaurant El racó d'en Shahban	C Nàpols	311	Gràcia	el Camp d'en Grassot i Gràcia Nova	08025	BARCELONA	BARCELONA	ESPANYA	41.404107325	2.1676916666666664	+34 934571232	LEON FERNANDEZ SERGIO	---
Restaurant La Ferreria	C Neptú	4	Gràcia	la Vila de Gràcia	08006	BARCELONA	BARCELONA	ESPANYA	41.397272308333335	2.1551960277777775	+34 932372495	+34 932370171	---
Restaurant Xinès Primero	C Nicaragua	97	Les Corts	les Corts	08029	BARCELONA	BARCELONA	ESPANYA	41.385170788888885	2.138762861111111	+34 934191850	HSIAO MU LIANG	---
Bar Restaurant Rincón del Cazador	Pg Mare de Déu del Coll	68	Gràcia	el Coll	08023	BARCELONA	BARCELONA	ESPANYA	41.417191538888886	2.147493638888889	+34 932133860	MUÑIO ALVAREZ EDUARDO	---
Restaurant La Rosa	Mare de Déu de Port	336	Sants-Montjuïc	la Marina de Port	08038	BARCELONA	BARCELONA	ESPANYA	41.36481233888889	2.139408138888889	+34 933321014	MARCO GREGORIO MARINO	---
Restaurant La Lloca	C Numància	38	Sants-Montjuïc	Sants	08029	BARCELONA	BARCELONA	ESPANYA	41.38280423333333	2.139743833333333	+34 934193877	+34 934393868	info@lalloca.com
Bar Pans & Company *Pl Urquinaona	Pl Urquinaona	12*13	Eixample	la Dreta de l'Eixample	08010	BARCELONA	BARCELONA	ESPANYA	41.38854242777778	2.1724777499999997	+34 933188273	+34 933188273	---
La Ruana	Salvà	22	Sants-Montjuïc	el Poble Sec	08004	BARCELONA	BARCELONA	ESPANYA	41.373963036111114	2.166217361111111	GARCIA ACEDO FERNANDA	---	---
Restaurant El Pa Nostre	C Olzinelles	14	Sants-Montjuïc	Sants	08014	BARCELONA	BARCELONA	ESPANYA	41.37394290833333	2.1362515277777776	+34 933328083	+34 933328083	---
Bar Restaurant El Gancho	C Olzinelles	114	Sants-Montjuïc	la Bordeta	08014	BARCELONA	BARCELONA	ESPANYA	41.370402927777775	2.1375457222222223	+34 934319069	IBAÑEZ IBAÑEZ FRANCISCO	---
Bar Restaurant Cafè Ribera	Pl Olles	6	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38383388888889	2.1831680833333333	MEIS FERNANDEZ FRANCISCO	---	---
Bar Restaurant Cal Pep	Pl Olles	8	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38394300277778	2.1833376388888888	+34 933107961	+34 933196281	calpep@calpep.com
Restaurant Xinès Dragon Oriente	C Padilla	386	Horta-Guinardó	el Baix Guinardó	08025	BARCELONA	BARCELONA	ESPANYA	41.41245729166666	2.168697472222222	+34 934550259	PON WU WEI-CHANG	---
Bar Restaurant Hermanos Tomás	C Pare Pérez del Pulgar	1	Sant Andreu	la Trinitat Vella	08033	BARCELONA	BARCELONA	ESPANYA	41.45375731666667	2.1897895555555555	+34 933457148	+34 932743147	---
Restaurant Pizzeria l'Espurna	C Pare Secchi	21	Sant Andreu	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	41.43327615	2.1865048333333332	+34 933116407	PACHECO ARANA IGNACIO	---
Restaurant Degustació Pàdua	C Pàdua	91	Sarrià-Sant Gervasi	el Putxet i el Farró	08006	BARCELONA	BARCELONA	ESPANYA	41.40455078888889	2.144445638888889	+34 934187070	COLOM MIRALLES JOSEP	---
Bodega Pàdua	Pàdua	0092	Sarrià-Sant Gervasi	el Putxet i el Farró	08006	BARCELONA	BARCELONA	ESPANYA	41.40435896388889	2.1439910555555555	+34 932123056	RATON GIL VICENTE	---
Restaurant Esthvan	C Palència	45	Sant Andreu	la Sagrera	08027	BARCELONA	BARCELONA	ESPANYA	41.418665688888886	2.1908617777777777	+34 933514701	PEÑARANDA DUZMAN FRANCISCO	---
Bar Restaurant Fantotxe	C París	69	Eixample	la Nova Esquerra de l'Eixample	08029	BARCELONA	BARCELONA	ESPANYA	41.38784623888889	2.1453717777777777	+34 934394254	GONZALEZ GONZALEZ BENITO	---
Cafeteria Snack Bar Ya-Ya	C París	132	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.390852875	2.149732888888889	+34 934307613	VENDRELL ROS SALVADOR	---
Restaurant Solera Gallega	C París	176	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.392968975	2.152546222222222	+34 933229140	+34 934399087	---
Restaurant El Yate	C París	186	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.393586191666664	2.1533635277777776	+34 934150928	+34 932376104	---
Bar París	C París	187	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.39353677222222	2.152797138888889	+34 932098530	BERNAL CARDOS JOSEFA	---
Restaurant O'Retiro do Marineiro	C París	200	Eixample	l'Antiga Esquerra de l'Eixample	08008	BARCELONA	BARCELONA	ESPANYA	41.39430766388889	2.154315638888889	+34 932377843	+34 934150305	---
Restaurant Pa i Trago	C Parlament	41	Eixample	Sant Antoni	08015	BARCELONA	BARCELONA	ESPANYA	41.377199016666665	2.1633687777777775	+34 934411037	+34 934411320	paitrago@infonegocio.com
Restaurant Mesón Morriña - Marisqueria Gallega	C Parlament	46	Eixample	Sant Antoni	08015	BARCELONA	BARCELONA	ESPANYA	41.37716161111111	2.163694	+34 934419336	+34 934427621	info@marisqueriagallega.com
Restaurant Druida	C Parlament	54	Eixample	Sant Antoni	08015	BARCELONA	BARCELONA	ESPANYA	41.37731559722222	2.163900527777778	+34 934411045	---	druida@restaurantedruida.com
Restaurant El Paraguayo	C Parc	1	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.37744586666667	2.1783897777777774	+34 933021441	+34 934126769	e-paraguayo@e-paraguayo.com
Bar El Paraigua	Pas de l'Ensenyança	2	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38189104166667	2.1767387777777776	+34 933021131	+34 933171479	---
Restaurant Mi Burrito y Yo	C Pas de l'Ensenyança	2	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38189104166667	2.1767387777777776	+34 933021000	+34 933182742	---
Hotel AC Diplomàtic	C Pau Claris	122	Eixample	la Dreta de l'Eixample	08009	BARCELONA	BARCELONA	ESPANYA	41.39275845833333	2.167258361111111	+34 932723810	+34 932723811	---
Bar Restaurant Orange Claris Café	C Pau Claris	143	Eixample	la Dreta de l'Eixample	08009	BARCELONA	BARCELONA	ESPANYA	41.39378559722222	2.1655315555555554	+34 934875991	---	---
Restaurant Bilbao	C Perill	33	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.39974830277778	2.1618736666666667	+34 934589624	VALLS ISART PERE	---
Bar Grelan	Peracamps	7	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.37595809444444	2.174141472222222	+34 933025470	CHOCLAN MARTINEZ RAFAEL	---
Virreina Bar	Pl Virreina	1	Gràcia	la Vila de Gràcia	08024	BARCELONA	BARCELONA	ESPANYA	41.404937591666666	2.1575781666666667	+34 932379880	+34 934153209	virreinabar@arrakis.es
Bar Restaurant Welcome	C Pérez Galdós	45	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.40652329444444	2.1509564444444442	+34 932182109	BAO WEIGUO	---
Restaurant Cibeiro	Petrarca	14	Nou Barris	Vilapicina i la Torre Llobeta	08031	BARCELONA	BARCELONA	ESPANYA	41.429929975	2.1660400833333333	+34 934292803	REYERO MORENO JOSE LUIS	---
Bar Restaurant Bello	C Pinar del Río	57	Sant Andreu	el Congrés i els Indians	08027	BARCELONA	BARCELONA	ESPANYA	41.422558430555554	2.179832611111111	+34 933521355	VICENTE BARRADO M CARMEN	---
Restaurant l'Hortet	C Pintor Fortuny	32	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.38233433333333	2.168636	+34 933176189	CAPO PERERA ODINA	---
Restaurant La Llesca	Rier Blanca	5	Les Corts	la Maternitat i Sant Ramon	08028	BARCELONA	BARCELONA	ESPANYA	41.377383647222224	2.1218840555555554	+34 933346794	MARTINEZ LANDETA ANUNCIACIO	---
Bar Restaurant Les Corts	Pintor Tapiró	45	Les Corts	la Maternitat i Sant Ramon	08028	BARCELONA	BARCELONA	ESPANYA	41.37803369444445	2.1182356111111114	+34 933342244	HERAS DE LAS SANCHEZ CIPRIANO	---
Bar Restaurant Andres y Juan	C Pitàgores	10	Nou Barris	Vilapicina i la Torre Llobeta	08031	BARCELONA	BARCELONA	ESPANYA	41.428278352777774	2.1656289444444443	+34 933586350	GARCIA ATIENZA M CARMEN	---
Restaurant Pep	Ptge Pla	11	Eixample	la Dreta de l'Eixample	08009	BARCELONA	BARCELONA	ESPANYA	41.396115025	2.1688655277777777	+34 934572733	VILA BUSQUETS MARIA MERC	---
Granja Xador	C Argenteria	61	Ciutat Vella	Parc	08003	BARCELONA	BARCELONA	ESPANYA	41.38359031388889	2.181111694444444	+34 933193648	ARACIL MARTINEZ FRANCISCO	---
Bar Restaurant Rodrigo	C Argenteria	67	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.383586125	2.181388944444444	+34 933107814	MONZON ALBERT RODRIGO	---
Chez Beatriz	Pobla de Lillet	7	Les Corts	les Corts	08028	BARCELONA	BARCELONA	ESPANYA	41.38031765277778	2.1293129166666667	+34 933300306	SANCHEZ DOMINGUEZ BEATRIZ	---
Bar Bodega Quimet i Quimet	C Poeta Cabanyes	25	Sants-Montjuïc	el Poble Sec	08004	BARCELONA	BARCELONA	ESPANYA	41.37397256944445	2.1655674166666667	+34 934423142	PEREZ PASCUAL JOAQUIN	---
Bar Restaurant Belfort	C Avenir	72	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.394408	2.144318722222222	+34 932018859	FERRER STRENS JUAN FELIP	---
Restaurant Els Pescadors	Pl Prim	1	Sant Martí	el Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.399522697222224	2.2069009444444445	+34 932252018	+34 932240004	contacte@elspescadors.com
Bar Restaurant Nou Celler	C Princesa	16	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38507008055556	2.180208027777778	+34 933104773	MARLES IBAÑEZ M ISABEL	---
Bar Albareda	Princesa	0049	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38655201388889	2.181884277777778	+34 933002008	VIDAL FITE MONTSERRAT	---
Restaurant Los Asadores	Av Príncep d'Astúries	4	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.401702288888885	2.151154583333333	+34 932378907	+34 932189975	---
Restaurant El Suquet de Sant Gervasi	C Copèrnic	75	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08006	BARCELONA	BARCELONA	ESPANYA	41.40193109444444	2.143007861111111	+34 932016370	---	---
Bar Restaurant L'Estoret	C Provença	9	Eixample	la Nova Esquerra de l'Eixample	08029	BARCELONA	BARCELONA	ESPANYA	41.38127975555555	2.1434569722222223	+34 933220918	RUEDA GARCIA AMADO	---
Restaurant Can Buj	C Provença	73	Eixample	la Nova Esquerra de l'Eixample	08029	BARCELONA	BARCELONA	ESPANYA	41.38523806111111	2.1486981666666667	+34 934101314	RESTAURANTE CAN BUJ	---
Cafeteria Restaurant Nou Snop	C Provença	233	Eixample	la Dreta de l'Eixample	08008	BARCELONA	BARCELONA	ESPANYA	41.39333865	2.1594589166666665	+34 932151725	SANMARTI VERDAGUER JOAN	---
Restaurant Salta	C Provença	280	Eixample	la Dreta de l'Eixample	08008	BARCELONA	BARCELONA	ESPANYA	41.39390855277778	2.1605860833333335	+34 932150022	PASTAFIORE SA	---
